alpha,b0,b1,b2,b3,b4,b5,b6,b7,b8
0.0000,0.00000,1.12949,1.26459,1.49819,1.88144,2.43133,3.19689,4.08051,5.03501
0.0500,0.00000,1.13174,1.26355,1.49629,1.87987,2.43035,3.19608,4.08015,5.03480
0.1000,0.00000,1.13804,1.26668,1.49617,1.87929,2.42986,3.19560,4.07982,5.03451
0.1500,0.00000,1.14684,1.27409,1.49885,1.87986,2.43029,3.19575,4.07965,5.03428
0.2000,0.00000,1.15718,1.28482,1.50372,1.88186,2.43197,3.19634,4.07957,5.03407
0.2500,0.00000,1.16879,1.29833,1.51111,1.88564,2.43461,3.19722,4.07978,5.03386
0.3000,0.00000,1.18141,1.31496,1.52045,1.89117,2.43914,3.19958,4.08017,5.03379
0.3500,0.00000,1.19450,1.33352,1.53201,1.89837,2.44510,3.20279,4.08080,5.03372
0.4000,0.00000,1.20823,1.35406,1.54528,1.90754,2.45230,3.20717,4.08187,5.03365
0.4500,0.00000,1.22262,1.37649,1.56025,1.91827,2.46167,3.21280,4.08318,5.03373
0.5000,0.00000,1.23787,1.40056,1.57696,1.93055,2.47297,3.21927,4.08494,5.03392
0.5500,0.00000,1.25404,1.42574,1.59503,1.94463,2.48575,3.22714,4.08701,5.03420
0.6000,0.00000,1.27117,1.45134,1.61424,1.95989,2.49970,3.23601,4.08944,5.03464
0.6500,0.00000,1.28951,1.47712,1.63451,1.97669,2.51508,3.24638,4.09224,5.03509
0.7000,0.00000,1.30959,1.50300,1.65628,1.99466,2.53243,3.25795,4.09563,5.03572
0.7500,0.00000,1.33134,1.52861,1.67849,2.01401,2.55147,3.27078,4.09930,5.03643
0.8000,0.00000,1.35448,1.55372,1.70186,2.03482,2.57164,3.28480,4.10369,5.03724
0.8500,0.00000,1.37884,1.57840,1.72568,2.05637,2.59351,3.30089,4.10851,5.03826
0.9000,0.00000,1.40250,1.60209,1.75032,2.07898,2.61492,3.31761,4.11380,5.03954
0.9500,0.00000,1.42425,1.62505,1.77543,2.10236,2.63580,3.33558,4.11943,5.04095
1.0000,0.00000,1.44311,1.64725,1.80094,2.12679,2.65801,3.35487,4.12537,5.04247
